movie_title,wiki_summary
Ed (1996),Ed is a 1996 American sports comedy film starring Matt LeBlanc about a talented baseball pitcher and his friendly ball-playing chimpanzee as his team's mascot.
Ed Wood (1994),"Ed Wood is a 1994 American biographical comedy-drama film directed and produced by Tim Burton and starring Johnny Depp as Ed Wood, the eponymous cult filmmaker."
Eddie (1996),Eddie is a 1996 American sports comedy film starring Whoopi Goldberg and Frank Langella.
"Edge, The (1997)",The Edge is a 1997 American epic survival thriller film written by David Mamet and directed by Lee Tamahori starring Anthony Hopkins and Alec Baldwin.
"Eighth Day, The (1996)",The Eighth Day (French: Le huitième jour) is a 1996 Franco-Belgian comedy-drama film that tells the story of the friendship that develops between two men who meet by chance.
Emma (1996),Jane Austen's Emma is an adaptation of the 1815 novel of the same name.
"Empire Strikes Back, The (1980)","The Empire Strikes Back (also known as Star Wars: Episode V – The Empire Strikes Back) is a 1980 American epic space opera film directed by Irvin Kershner from a screenplay by Leigh Brackett and Lawrence Kasdan, based on a story by George Lucas."
Enchanted April (1991),Enchanted April is a 1991 British film directed by Mike Newell.
"Endless Summer 2, The (1994)","The Endless Summer is a 1966 American surf documentary film directed, produced, edited and narrated by Bruce Brown."
"English Patient, The (1996)","The English Patient is a 1996 epic romantic war drama film directed by Anthony Minghella from his own script based on the 1992 novel of the same name by Michael Ondaatje, and produced by Saul Zaentz."
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","The Englishman who Went up a Hill but Came down a Mountain is a 1995 romantic comedy film with a story by Ifor David Monger and Ivor Monger, written and directed by Christopher Monger."
Entertaining Angels: The Dorothy Day Story (1996),"Entertaining Angels: The Dorothy Day Story is a 1996 independent film about the life of Dorothy Day, the journalist turned social activist and founder of the Catholic Worker newspaper."
Eraser (1996),"Eraser is a 1996 American action film directed by Chuck Russell and starring Arnold Schwarzenegger, Vanessa Williams, James Caan, James Coburn, and Robert Pastorelli."
Escape from L.A. (1996),"Escape from L.A. (stylized on-screen as John Carpenter's Escape from L.A.) is a 1996 American post-apocalyptic action film co-written, co-scored, and directed by John Carpenter, co-written and produced by Debra Hill and Kurt Russell, with Russell also starring as Snake Plissken."
Escape from New York (1981),"Escape from New York is a 1981 American science fiction action film co-written, co-scored and directed by John Carpenter, and starring Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Isaac Hayes, Adrienne Barbeau and Harry Dean Stanton."
Escape to Witch Mountain (1975),"Escape to Witch Mountain is a 1975 American fantasy science-fiction film, based on Alexander H. Key's 1968 novel of the same name and directed by John Hough."
Eve's Bayou (1997),"Eve's Bayou is a 1997 American Southern Gothic drama film written and directed by Kasi Lemmons, who made her directorial debut with this film."
Even Cowgirls Get the Blues (1993),Even Cowgirls Get the Blues is a 1993 American romantic comedy-drama western film based on Tom Robbins' 1976 novel of the same name.
"Evening Star, The (1996)",The Evening Star is a 1996 American comedy-drama film.
Event Horizon (1997),Event Horizon is a 1997 science fiction horror film directed by Paul W. S. Anderson and written by Philip Eisner.
Everest (1998),"Everest is a 70mm American documentary film, from MacGillivray Freeman Films, about the struggles involved in climbing Mount Everest, the highest mountain peak on Earth, located in the Himalayan region of Nepal and Tibet."
Every Other Weekend (1990),Every Other Weekend (French: Un week-end sur deux) is a 1990  French drama film written and directed by Nicole Garcia.
Everyone Says I Love You (1996),Everyone Says I Love You is a 1996 American musical film written and directed by Woody Allen.
Evil Dead II (1987),"Evil Dead II (also known in publicity materials as Evil Dead 2: Dead by Dawn) is a 1987 American comedy horror film directed by Sam Raimi, who co-wrote it with Scott Spiegel."
Evita (1996),"Evita is a 1996 American musical-historical film based on the 1976 concept album of the same name produced by Tim Rice and Andrew Lloyd Webber, which also inspired a 1978 musical."
Excess Baggage (1997),"Excess Baggage is a 1997 American crime comedy film written by Max D. Adams, Dick Clement, and Ian La Frenais, and directed by Marco Brambilla about a neglected young heiress who stages her own kidnapping to get her father's attention, only to be actually kidnapped by a car thief."
Executive Decision (1996),Executive Decision is a 1996 American action thriller film directed by Stuart Baird in his directorial debut.
Exit to Eden (1994),Exit to Eden is a 1994 American comedy thriller film directed by Garry Marshall and adapted to the screen by Deborah Amelon and Bob Brunner from Anne Rice's novel of the same name.
Exotica (1994),"Exotica is a 1994 Canadian film written and directed by Atom Egoyan, and starring Bruce Greenwood, Mia Kirshner, Don McKellar, Arsinée Khanjian, and Elias Koteas."
Extreme Measures (1996),"Extreme Measures is a 1996 crime thriller film based on Michael Palmer's 1991 novel of the same name, dealing with the ethics of medical sacrifices."
Eye for an Eye (1996),"Eye for an Eye is a 1996 American psychological thriller film, directed by John Schlesinger and written by Rick Jaffa and Amanda Silver."
"Eye of Vichy, The (Oeil de Vichy, L') (1993)","The Prieuré de Sion ([pʁi.jœ.ʁe də sjɔ̃]), translated as Priory of Sion, was a fraternal organization founded in France in 1956 by Pierre Plantard in his failed attempt to create a prestigious neo-chivalric order."
Face/Off (1997),"Face/Off is a 1997 American science fiction action thriller film directed by John Woo, written by Mike Werb and Michael Colleary, and starring John Travolta and Nicolas Cage.The first Hollywood film in which Woo was given major creative control, Face/Off earned critical acclaim for the performances by Cage and Travolta and its stylized action sequences."
Faces (1968),Faces is a 1968 American drama film written and directed by John Cassavetes.
Fair Game (1995),Fair Game is a 1995 American action thriller film directed by Andrew Sipes.
FairyTale: A True Story (1997),FairyTale: A True Story is a 1997 fantasy drama film directed by Charles Sturridge and produced by Bruce Davey and Wendy Finerman.
Faithful (1996),"Faithful is a 1996 American comedy crime drama film directed by Paul Mazursky  and starring Cher, Chazz Palminteri and Ryan O'Neal."
Fall (1997),"Fall is a 1997 American romantic film directed by, written by and starring Eric Schaeffer, alongside Amanda de Cadenet."
Fallen (1998),"Fallen is a 1998 American supernatural thriller film directed by Gregory Hoblit, produced by Charles Roven and Dawn Steel, from a screenplay by Nicholas Kazan."
Falling in Love Again (1980),"Falling in Love Again is a 1980 American romantic comedy film directed by Steven Paul and starring Elliott Gould and Susannah York.The film also features Michelle Pfeiffer in an early role, playing a younger version of Susannah York's character."
"Family Thing, A (1996)","A Family Thing is a 1996 American drama film starring Robert Duvall, James Earl Jones and Irma P. Hall."
"Fan, The (1996)","The Fan is a 1996 American sports psychological thriller film directed by Tony Scott, and starring Robert De Niro and Wesley Snipes, based on  the 1995 novel by Peter Abrahams."
Fantasia (1940),"Fantasia is a 1940 American animated musical anthology film produced by Walt Disney Productions, with story direction by Joe Grant and Dick Huemer and production supervision by Walt Disney and Ben Sharpsteen."
Far From Home: The Adventures of Yellow Dog (1995),Far from Home: The Adventures of Yellow Dog is a 1995 survival adventure film starring Jesse Bradford and directed by Phillip Borsos in his final directorial film.
Farewell My Concubine (1993),"Farewell My Concubine is a 1993 Chinese historical drama film directed by Chen Kaige, starring Leslie Cheung, Gong Li and Zhang Fengyi."
"Farewell to Arms, A (1932)","A Farewell to Arms is a 1932 American pre-Code romance drama film directed by Frank Borzage and starring Helen Hayes, Gary Cooper, and Adolphe Menjou."
Fargo (1996),"Fargo is a 1996 black comedy crime film written, produced and directed by Joel and Ethan Coen."
Farinelli: il castrato (1994),"Farinelli is a 1994 internationally co-produced biographical drama film directed by Gérard Corbiau and starring Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein, and Jeroen Krabbé."
Farmer & Chase (1995),"Cornelius Crane ""Chevy"" Chase (; born October 8, 1943) is an American comedian, actor, and writer."
Faster Pussycat! Kill! Kill! (1965),"Faster, Pussycat!"
Fatal Instinct (1993),Fatal Instinct is a 1993 American sex comedy thriller film directed by Carl Reiner.
Father of the Bride (1950),"Father of the Bride is a 1950 American comedy film about a man trying to cope with preparations for his daughter's wedding starring Spencer Tracy, Joan Bennett, and Elizabeth Taylor."
Father of the Bride Part II (1995),"Father of the Bride Part II is a 1995 American comedy film starring Steve Martin, Diane Keaton, and Martin Short."
Fathers' Day (1997),"Fathers' Day is a 1997 American comedy film directed by Ivan Reitman and starring Robin Williams, Billy Crystal, Julia Louis-Dreyfus, and Nastassja Kinski."
Faust (1994),"Faust (Czech: Lekce Faust, lit. 'Lesson Faust') is a 1994 live-action/animated film directed and written by Jan Švankmajer."
Fausto (1993),Fausto is a given name and surname.
"Favor, The (1994)","The Favor is a 1994 American romantic comedy film directed by Donald Petrie, and written by Sara Parriott and Josann McGibbon."
Fear (1996),Fear is a  1996 American psychological thriller film directed by James Foley and written by Christopher Crowe.
Fear of a Black Hat (1993),Fear of a Black Hat is a 1993 American mockumentary film on the evolution and state of American hip hop music.
"Fear, The (1995)","The Fear is a 1995 American psychological horror film directed by Vincent Robert and starring Vince Edwards in his final film role, along with Eddie Bowz, Darin Heames, Leland Hayward, and Ann Turkel."
Fearless (1993),"Fearless is a 1993 American drama film directed by Peter Weir and starring Jeff Bridges, Isabella Rossellini, Rosie Perez and John Turturro."
Feast of July (1995),"Feast of July is a 1995 American-British neo noir crime film directed by Christopher Menaul and produced by Merchant Ivory Productions, based on the 1954 novel by H. E. Bates, starring Embeth Davidtz and Ben Chaplin."
Feeling Minnesota (1996),Feeling Minnesota is a 1996 American crime comedy film written and directed by Steven Baigelman.
Female Perversions (1996),"Female Perversions is a 1996 erotic drama film directed by Susan Streitfeld (in her feature directorial debut), based on the 1991 book Female Perversions: The Temptations of Emma Bovary by American psychoanalyst Louise J. Kaplan."
Field of Dreams (1989),"Field of Dreams is a 1989 American sports fantasy drama film written and directed by Phil Alden Robinson, based on Canadian novelist W. P. Kinsella's 1982 novel Shoeless Joe."
Fierce Creatures (1997),Fierce Creatures is a 1997 farcical comedy film.
"Fifth Element, The (1997)","The Fifth Element is a 1997 English-language French science fiction action film conceived and directed by Luc Besson, as well as co-written by Besson and Robert Mark Kamen."
"Fille seule, La (A Single Girl) (1995)",A Single Girl (French: La Fille seule) is a 1995 French drama film directed by Benoît Jacquot.
Fire Down Below (1997),Fire Down Below is a 1997 American action film starring Steven Seagal and directed by Félix Enríquez Alcalá in his directorial debut.
Fire on the Mountain (1996),Fire on the Mountain is a 1996 documentary about the 10th Mountain Division during World War II. The film follows the division from its training at Camp Hale in Colorado through  its campaign in Italy.
Firestorm (1998),"Firestorm is a 1998 American action thriller film directed by Dean Semler and starring Howie Long, Scott Glenn, William Forsythe, and Suzy Amis."
First Kid (1996),First Kid is a 1996 American slapstick comedy film directed by David Mickey Evans and starring Sinbad and Brock Pierce.
First Knight (1995),"First Knight is a 1995 medieval film based on Arthurian legend, directed by Jerry Zucker."
"First Wives Club, The (1996)","The First Wives Club is a 1996 American comedy film directed by Hugh Wilson, based on the 1992 novel of the same name by Olivia Goldsmith."
"Fish Called Wanda, A (1988)",A Fish Called Wanda is a 1988 heist comedy film directed by Charles Crichton and written by Crichton and John Cleese.
Fled (1996),Flee (Danish: Flugt) is a 2021 adult animated documentary film directed by Jonas Poher Rasmussen.
Flesh and Bone (1993),"Flesh and Bone is a 1993 American neo noir mystery thriller film written and directed by Steve Kloves that stars Meg Ryan, Dennis Quaid and James Caan."
"Flintstones, The (1994)","The Flintstones (also known as The Flintstones Movie or The Flintstones: The Live-Action Movie in the working title) is a 1994 American family comedy film directed by Brian Levant and written by Tom S. Parker, Jim Jennewein, and Steven E. de Souza based on the 1960–1966 animated television series of the same name."
Flipper (1996),Flipper is a 1996 American adventure film and a remake of the 1963 film of the same name (which in turn began a TV series that ran from 1964 to 1967).
Flirt (1995),Flirt is a 1995 drama film written and directed by Hal Hartley and produced by Good Machine.
Flirting With Disaster (1996),Flirting with Disaster is a 1996 American black comedy film written and directed by David O. Russell about a young father's search for his biological parents.
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",The Flower of My Secret (Spanish: La flor de mi secreto) is a 1995 drama film written and directed by Pedro Almodóvar.
Flubber (1997),"Flubber is a 1997 American science-fiction comedy film directed by Les Mayfield (who had previously directed another John Hughes scripted remake, Miracle on 34th Street) and written by Hughes and Bill Walsh."
Fluke (1995),"Fluke is a 1995 American fantasy drama film directed by Carlo Carlei from a screenplay by Carlei and James Carrington, based on the 1977 novel of the same name by James Herbert."
Fly Away Home (1996),Fly Away Home (a.k.a.
"Fog, The (1980)","The Fog is a 1980 American supernatural horror film directed by John Carpenter, who also co-wrote the screenplay and created the music for the film."
Fools Rush In (1997),"Fools Rush In is a 1997 American romantic comedy film starring Matthew Perry and Salma Hayek, directed by Andy Tennant."
For Ever Mozart (1996),"For Ever Mozart is a 1996 feature film directed, written and edited by Jean-Luc Godard."
For Love or Money (1993),For Love or Money (also released as The Concierge) is a 1993 American romantic comedy film directed by Barry Sonnenfeld and starring Michael J. Fox and Gabrielle Anwar.
For Richer or Poorer (1997),For Richer or Poorer is a 1997 American slapstick comedy film directed by Bryan Spicer starring Tim Allen and Kirstie Alley as a New York socialite couple who decide to end their spoiled relationship.
For Whom the Bell Tolls (1943),"For Whom the Bell Tolls is a 1943 American epic war film produced and directed by Sam Wood and starring Gary Cooper, Ingrid Bergman, Akim Tamiroff, Katina Paxinou and Joseph Calleia."
For the Moment (1994),For the Moment is a 1993 film written and directed by Aaron Kim Johnston and starring Russell Crowe and Christianne Hirt.
"Forbidden Christ, The (Cristo proibito, Il) (1950)","Gabriele Ferzetti (born  Pasquale Ferzetti; 17 March 1925 – 2 December 2015) was an Italian actor with more than 160 credits across film, television, and stage."
Forbidden Planet (1956),"Forbidden Planet is a 1956 American science fiction film from Metro-Goldwyn-Mayer, produced by Nicholas Nayfack, and directed by Fred M. Wilcox from a script by Cyril Hume that was based on an original film story by Allen Adler and Irving Block."
Foreign Correspondent (1940),Foreign Correspondent (a.k.a.
Foreign Student (1994),Foreign Student is a 1994 American drama film directed by Eva Sereny and written by Menno Meyjes.
Forget Paris (1995),"Forget Paris is a 1995 American romantic comedy film produced, directed, co-written by and starring Billy Crystal as an NBA referee and Debra Winger as an independent working woman whose lives are interrupted by love and marriage."
Forrest Gump (1994),Forrest Gump is a 1994 American comedy-drama film directed by Robert Zemeckis and written by Eric Roth.
Four Days in September (1997),"Four Days in September (Portuguese: O Que É Isso, Companheiro?) is a 1997 Brazilian thriller film directed by Bruno Barreto and produced by his parents Lucy and Luiz Carlos Barreto."
Four Rooms (1995),"Four Rooms is a 1995 American anthology 
farce black comedy film co-written and co-directed by Allison Anders, Alexandre Rockwell, Robert Rodriguez, and Quentin Tarantino."
Four Weddings and a Funeral (1994),Four Weddings and a Funeral is a 1994 British romantic comedy film directed by Mike Newell.
"Fox and the Hound, The (1981)",The Fox and the Hound is a 1981 American animated buddy drama film produced by Walt Disney Productions and loosely based on the 1967 novel of the same name by Daniel P. Mannix.
Foxfire (1996),Foxfire is a 1996 American teen drama film directed by Annette Haywood-Carter.
Frankie Starlight (1995),Frankie Starlight is a 1995 drama–romantic war film directed by Michael Lindsay-Hogg.
Free Willy (1993),"Free Willy is a 1993 American family drama film, directed by Simon Wincer, produced by Lauren Shuler Donner and Jennie Lew Tugend, written by Keith A. Walker and Corey Blechman from a story by Walker and distributed by Warner Bros."
Free Willy 2: The Adventure Home (1995),"Free Willy 2: The Adventure Home (also known as Free Willy 2) is a 1995 American family adventure drama film directed by Dwight Little from a screenplay by Karen Janszen, Corey Blechman and John Mattson."
Free Willy 3: The Rescue (1997),Free Willy 3: The Rescue is a 1997 American family film directed by Sam Pillsbury and written by John Mattson.
Freeway (1996),Freeway is a 1996 American black comedy crime film written and directed by Matthew Bright and produced by Oliver Stone.
French Kiss (1995),French Kiss is a 1995 romantic comedy film directed by Lawrence Kasdan and starring Meg Ryan and Kevin Kline.
French Twist (Gazon maudit) (1995),French Twist (French: Gazon maudit) is a 1995 French comedy cult film written and directed by Josiane Balasko.
Fresh (1994),"Fresh is a 1994 American crime drama film written and directed by Boaz Yakin in his directorial debut, also produced by Randy Ostrow and Lawrence Bender."
Friday (1995),Friday is a 1995 American buddy comedy film directed by F. Gary Gray and written by Ice Cube and DJ Pooh.
Fried Green Tomatoes (1991),Fried Green Tomatoes is a 1991 American comedy-drama film directed by Jon Avnet and based on Fannie Flagg's 1987 novel Fried Green Tomatoes at the Whistle Stop Cafe.
"Frighteners, The (1996)",The Frighteners is a 1996 supernatural comedy horror film directed by Peter Jackson and co-written with  Fran Walsh.
Frisk (1995),"Frisk is a 1995 American drama film directed by Todd Verow, based on the 1991 novel of the same name by author Dennis Cooper."
From Dusk Till Dawn (1996),From Dusk till Dawn is a 1996 American action horror film directed by Robert Rodriguez and written by Quentin Tarantino from a concept and story by Robert Kurtzman.
"Fugitive, The (1993)","The Fugitive is a 1993 American action thriller film, directed by Andrew Davis with a script co-written by Jeb Stuart and David Twohy, from a previous story draft which Twohy had written."
Full Metal Jacket (1987),"Full Metal Jacket is a  1987 war drama film directed and produced by Stanley Kubrick, who also co-wrote the screenplay with Michael Herr and Gustav Hasford."
"Full Monty, The (1997)","The Full Monty is a 1997 British comedy film directed by Peter Cattaneo, starring Robert Carlyle, Mark Addy, William Snape, Steve Huison, Tom Wilkinson, Paul Barber and Hugo Speer."
Full Speed (1996),Full Speed (French: À toute vitesse) is a 1996 French drama film directed by Gaël Morel.
"Funeral, The (1996)","The Funeral is a 1996 American crime-drama film directed by Abel Ferrara and starring Christopher Walken, Chris Penn, Annabella Sciorra, Isabella Rossellini, Vincent Gallo, Benicio del Toro and Gretchen Mol."
Funny Face (1957),"Funny Face is a 1957 American musical romantic comedy film directed by Stanley Donen and written by Leonard Gershe, containing assorted songs by George and Ira Gershwin."
"Further Gesture, A (1996)","The OK gesture or OK sign or ring gesture (symbol/emoji: ""👌"") is performed by joining the thumb and index finger in a circle, and holding the other fingers straight or relaxed away from the palm."
G.I. Jane (1997),"G.I. Jane is a 1997 American action drama film directed by Ridley Scott and starring Demi Moore, Viggo Mortensen, and Anne Bancroft."
"Game, The (1997)","The Game is a 1997 American mystery thriller film directed by David Fincher, starring Michael Douglas, Sean Penn, Deborah Kara Unger and James Rebhorn and produced by Propaganda Films and PolyGram Filmed Entertainment."
Gandhi (1982),"Gandhi is a 1982 epic biographical film based on the life of Mahatma Gandhi, a major leader in the Indian independence movement against the British Empire during the 20th century."
Gang Related (1997),"Gang Related, alternatively known as Criminal Intent, is a 1997 American action crime thriller film written and directed by Jim Kouf, and starring James Belushi, Tupac Shakur, Dennis Quaid, Lela Rochon, David Paymer and James Earl Jones."
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",The Garden of the Finzi-Continis (Italian: Il giardino dei Finzi Contini) is a 1970 historical drama film directed by Vittorio De Sica.
Gaslight (1944),"Gaslight is a 1944 American psychological thriller film directed by George Cukor, and starring Charles Boyer, Ingrid Bergman, Joseph Cotten and Angela Lansbury in her film debut."
"Gate of Heavenly Peace, The (1995)","The Gate of Heavenly Peace (Chinese: 天安门; pinyin: Tiānānmén) is a 1995 documentary film, produced by Richard Gordon and Carma Hinton, about the Tiananmen Square protests of 1989."
Gattaca (1997),Gattaca is a 1997 American dystopian science fiction drama thriller film written and directed by Andrew Niccol in his directorial debut.
"Gay Divorcee, The (1934)",The Gay Divorcee is a 1934 American musical film directed by Mark Sandrich and starring Fred Astaire and Ginger Rogers.
George of the Jungle (1997),"George of the Jungle is a 1997 American comedy film directed by Sam Weisman and based on Jay Ward and Bill Scott's 1967 American animated television series of the same name, which in turn is a spoof of the fictional character Tarzan, created by Edgar Rice Burroughs."
Georgia (1995),Georgia is a 1995 American independent film directed by Ulu Grosbard.
Germinal (1993),Germinal is a 1993 French epic film based on the 1885 novel by Émile Zola.
Geronimo: An American Legend (1993),"Geronimo: An American Legend is a 1993 historical Western film starring Wes Studi, Jason Patric, Gene Hackman, Robert Duvall, and Matt Damon in an early role."
Get Shorty (1995),"Get Shorty is a 1995 American gangster comedy film directed by Barry Sonnenfeld and written by Scott Frank, based on Elmore Leonard's novel of the same name."
Get on the Bus (1996),Get on the Bus is a 1996 American drama film about a group of African-American men who are taking a cross-country bus trip in order to participate in the Million Man March.
"Getaway, The (1994)",The Getaway is a 1994 American action thriller film directed by Roger Donaldson.
Getting Away With Murder (1996),Getting Away with Murder is a 1996 American black comedy film directed and written by Harvey Miller.
Getting Even with Dad (1994),Getting Even with Dad is a 1994 American comedy film starring Macaulay Culkin and Ted Danson.
"Ghost and the Darkness, The (1996)",The Ghost and the Darkness is a 1996 American historical adventure film  directed by Stephen Hopkins and starring Val Kilmer and Michael Douglas.
Ghost in the Shell (Kokaku kidotai) (1995),Ghost in the Shell is a 1995 adult animated neo-noir cyberpunk thriller film directed by Mamoru Oshii and adapted by frequent Oshii collaborator Kazunori Itō.
Ghosts of Mississippi (1996),"Ghosts of Mississippi is a 1996 American biographical courtroom drama film directed by Rob Reiner and starring Alec Baldwin, Whoopi Goldberg, and James Woods."
Giant (1956),"Giant is a 1956 American epic Western drama film directed by George Stevens, from a screenplay adapted by Fred Guiol and Ivan Moffat from Edna Ferber's 1952 novel.The film stars Elizabeth Taylor, Rock Hudson and James Dean and features Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Elsa Cárdenas and Earl Holliman."
Gigi (1958),Gigi (French pronunciation: [ʒiʒi]) is a 1958 American musical romantic comedy film directed by Vincente Minnelli and processed using Metro-Goldwyn-Mayer's Eastmancolor film process Metrocolor.
Gilligan's Island: The Movie (1998),Gilligan is a fictional character played by Bob Denver on the 1960s TV show Gilligan's Island and its many sequels.
Girl 6 (1996),Girl 6 is a 1996 American black comedy film produced and directed by Spike Lee.
Girl in the Cadillac (1995),Girl in the Cadillac is a crime drama film released in 1995.
Girls Town (1996),Girls Town is the 1996 feature film directing debut by Jim McKay.
"Glass Shield, The (1994)",The Glass Shield is a 1994 American crime drama film co-written and directed by Charles Burnett.
Glengarry Glen Ross (1992),"Glengarry Glen Ross is a 1992 American drama film directed by James Foley and written by David Mamet, based on his 1984 Pulitzer Prize–winning play of the same name."
"Glimmer Man, The (1996)",The Glimmer Man is a 1996 American buddy-cop action comedy film directed by John Gray and produced by Steven Seagal.
Glory (1989),"Glory is a 1989 American historical war drama film directed by Edward Zwick about the 54th Massachusetts Infantry Regiment, one of the Union Army's earliest African-American regiments in the American Civil War."
Go Fish (1994),Go Fish is a 1994 American drama film written by Guinevere Turner and Rose Troche and directed by Rose Troche.
"Godfather, The (1972)","The Godfather is a 1972 American epic crime film directed by Francis Ford Coppola, who co-wrote the screenplay with Mario Puzo, based on Puzo's best-selling 1969 novel of the same title."
"Godfather: Part II, The (1974)",The Godfather Part II is a 1974 American epic crime film.
Gold Diggers: The Secret of Bear Mountain (1995),"Gold Diggers: The Secret of Bear Mountain is a 1995 American adventure film directed by Kevin James Dobson, and starring Christina Ricci, Anna Chlumsky, Polly Draper, Brian Kerwin, Diana Scarwid, and David Keith."
Golden Earrings (1947),Golden Earrings is a 1947 American romantic spy film made by Paramount Pictures and starring Ray Milland and Marlene Dietrich.
GoldenEye (1995),"GoldenEye is a 1995 spy film, the seventeenth in the James Bond Series produced by Eon Productions, and the first to star Pierce Brosnan as the fictional MI6 agent James Bond."
Gone Fishin' (1997),Gone Fishin' is a 1997 American comedy film starring Joe Pesci and Danny Glover as two bumbling fishing enthusiasts.
Gone with the Wind (1939),Gone with the Wind is a 1939 American epic historical romance film adapted from the 1936 novel by Margaret Mitchell.
"Good Man in Africa, A (1994)","A Good Man in Africa is a 1994 comedy-drama film, based on William Boyd's 1981 novel A Good Man in Africa and directed by Bruce Beresford."
Good Morning (1971),"Good Morning, Vietnam is a 1987 American war comedy film written by Mitch Markowitz and directed by Barry Levinson."
Good Will Hunting (1997),"Good Will Hunting is a 1997 American psychological drama film directed by Gus Van Sant, and written by Ben Affleck and Matt Damon."
"Good, The Bad and The Ugly, The (1966)","The Good, the Bad and the Ugly (Italian: Il buono, il brutto, il cattivo, literally ""The good, the ugly, the bad"") is a 1966 Italian epic spaghetti Western film directed by Sergio Leone and starring Clint Eastwood as ""the Good"", Lee Van Cleef as ""the Bad"", and Eli Wallach as ""the Ugly""."
GoodFellas (1990),"Goodfellas (stylized GoodFellas) is a 1990 American biographical crime film directed by Martin Scorsese, written by Nicholas Pileggi and Scorsese, and produced by Irwin Winkler."
"Goofy Movie, A (1995)",A Goofy Movie is a 1995 American animated musical comedy-adventure film produced by Disney MovieToons and Walt Disney Television Animation.
Gordy (1995),Denise Georgette Gordy is an American former film and television actress and singer.
Grace of My Heart (1996),"Grace of My Heart is a 1996 American musical comedy-drama film written and directed by Allison Anders, and starring Illeana Douglas, Matt Dillon, Eric Stoltz, Patsy Kensit and John Turturro."
"Graduate, The (1967)","The Graduate is a 1967 American independent romantic comedy-drama film directed by Mike Nichols and written by Buck Henry and Calder Willingham, based on the 1963 novel of the same name by Charles Webb, who wrote it shortly after graduating from Williams College."
"Grand Day Out, A (1992)","Grand Canyon is a 1991 American drama film directed and produced by Lawrence Kasdan, and written by Kasdan with his wife Meg."
"Grass Harp, The (1995)",The Grass Harp is a 1995 American comedy-drama film based on the novella by Truman Capote.
Grateful Dead (1995),The Grateful Dead is the debut studio album of the Grateful Dead.
Grease 2 (1982),"Grease 2 is a 1982 American musical romantic comedy film and the sequel to the 1978 film Grease, adapted from the 1971 musical of the same name by Jim Jacobs and Warren Casey."
"Great Day in Harlem, A (1994)","A Great Day in Harlem or Harlem 1958 is a black-and-white photograph of 57 jazz musicians in Harlem, New York, taken by freelance photographer Art Kane for Esquire magazine on August 12, 1958."
"Great Dictator, The (1940)","The Great Dictator is a 1940 American anti-war political satire black comedy film written, directed, produced, scored by, and starring British comedian Charlie Chaplin, following the tradition of many of his other films."
"Great Escape, The (1963)","The Great Escape is a 1963 American epic war suspense adventure film starring Steve McQueen, James Garner and Richard Attenborough and featuring James Donald, Charles Bronson, Donald Pleasence, James Coburn, Hannes Messemer, David McCallum, Gordon Jackson, John Leyton and Angus Lennie."
Great Expectations (1998),Great Expectations is a 1998 American romantic drama film.
"Great Race, The (1965)","The Great Race is a 1965 American Technicolor epic slapstick comedy film starring Jack Lemmon, Tony Curtis, and Natalie Wood, directed by Blake Edwards, written by Arthur A. Ross (from a story by Edwards and Ross), and with music by Henry Mancini and cinematography by Russell Harlan."
"Great White Hype, The (1996)",The Great White Hype is a 1996 American sports comedy film directed by Reginald Hudlin.
"Grifters, The (1990)","The Grifters is a 1990 American neo-noir crime thriller film directed by Stephen Frears, produced by Martin Scorsese, and starring John Cusack, Anjelica Huston, and Annette Bening."
Grosse Fatigue (1994),Dead Tired (French: Grosse Fatigue) is a 1994 French comedy film directed by Michel Blanc.
Grosse Pointe Blank (1997),"Grosse Pointe Blank is a 1997 American black comedy film directed by George Armitage from a screenplay by Tom Jankiewicz, D. V. DeVincentis, Steve Pink and John Cusack."
Groundhog Day (1993),Groundhog Day is a 1993 American fantasy comedy film directed by Harold Ramis from a screenplay by him and Danny Rubin.
Grumpier Old Men (1995),"Grumpier Old Men is a 1995 American romantic comedy film, and a sequel to the film Grumpy Old Men."
Guantanamera (1994),"Tomás Gutiérrez Alea (Spanish pronunciation: [aˈlea]; December 11, 1928 – April 16, 1996) was a Cuban film director and screenwriter."
Guilty as Sin (1993),"Guilty as Sin is a 1993 American legal thriller film written by Larry Cohen, directed by Sidney Lumet and produced by Martin Ransohoff."
Gumby: The Movie (1995),Gumby: The Movie (also referred to as its on-screen title Gumby 1) is a 1995 American stop-motion surrealist claymation adventure comedy film featuring the character Gumby.
Hackers (1995),"Hackers is a 1995 American crime thriller film directed by Iain Softley and starring Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard, Laurence Mason, Renoly Santiago, Lorraine Bracco, and Fisher Stevens."
Half Baked (1998),"Half Baked is a 1998 American stoner comedy film starring Dave Chappelle, Jim Breuer, Harland Williams, and Guillermo Díaz."
